Track,Title,Date,Start Time,End Time,Location,Description,People ID's,
Tournaments,Self Paired,,,,,Attendees at Congress can play rated self paired games. The document below covers the details of playing and reporting self paired games.,,
Tournaments,US Open Round 1,7/22/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,US Open Round 2,7/23/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,US Open Round 3,7/24/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,US Open Round 4,7/26/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,US Open Round 5,7/27/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,US Open Round 6,7/28/2018,9:00 AM,12:00 PM,"Chesapeake A, B, and C. Overflow in Tidewater B","The US Open is a 6-round event open to all. Andrew Hall, Tournament Director.",,
Tournaments,Die Hard,7/25/2018,9:00 AM,6:00 PM,"Chesapeake A, B, and C","4-round tournament on the traditional 'day off' for those not opting for local sightseeing. Andy Olsen, Tournament Director.",,
Tournaments,US Open Masters Round 1,7/22/2018,9:00 AM,12:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
Tournaments,US Open Masters Round 2,7/22/2018,7:00 PM,10:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
Tournaments,US Open Masters Round 3,7/23/2018,9:00 AM,12:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
Tournaments,US Open Masters Round 4,7/23/2018,7:00 PM,10:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
Tournaments,US Open Masters Round 5,7/24/2018,9:00 AM,12:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
Tournaments,US Open Masters Round 6,7/26/2018,9:00 AM,12:00 PM,Tidewater A,"The US Open Masters is a 9-round event open to Pros and 7-Dan amateurs. Six of the rounds are played in the mornings at the same time as the US Open, and 3 rounds in the evenings. Josh Lee, Tournament Director.",,
